"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Reach,"CPM (cost per 1,000 impressions) (EGP)",Impressions,Frequency,"Ad set budget","Ad set budget type",Results,"Result indicator","Cost per results","Amount spent (EGP)","CTR (link click-through rate)","Video plays","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 100%","CPC (cost per link click) (EGP)","Messaging contacts","Post engagements"
2025-07-01,2025-11-30,"carisma 9 / go cut reel - insta - v.v - كل العيادات",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 9 / page likes",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎‎‎‎‎carisma 9 / 3 ريل عمران- eng - كل العيادات‎‎‎ - custom‎‎‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 9 / go cut - msg - insta - المنصورة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 9 / go cut - msg - insta - المحلة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎‎‎‎‎‎Carisma 9 / go cut  - MSG -insta- دمياط الجديدة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 9/hair filler - msg - f.b&insta - المنصورة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 10 / go cut camp - insta - v.v",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 10 / go cut - insta - v.v -كل العيادات‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 10 /go cut video motion - msg -المنصورة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 10 /go cut video motion - msg -المحلة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 10 /go cut video motion - msg -دمياط القديمة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 10 /go cut video motion - msg -دمياط الجديدة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 11 / filler video gohar - eng - f.b&insta",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 11 / filler video gohar 3 - v.v - insta",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 11 / جهاز الاكزيمر reels - v.v - دمياط القديمة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 12  / hiring مديرة فرع - msg - دمياط الجديدة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 12 / go cut - msg - المحلة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 12 / go cut - msg - دمياط القديمة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 12 / go cut - msg - دمياط الجديدة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎‎‎‎‎Carisma 4 / التقشير البارد- eng - كل العيادات‎‎ - Copy",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 8 / ريل عمران 2 - v.v - كل العيادات -insta‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 8 / عروض المحلة - MSG - المحلة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 8 / بوتكس التعرق - msg -insta- كل العيادات‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎carisma 9 / FILLER - msg - دمياط الجديدة‎‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎‎carisma 9 / ريل عمران- v.v- كل العيادات‎‎‎ - custom",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎‎‎‎‎‎‎Carisma 9 / go cut  - MSG - المحلة‎‎‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 9 / go cut - msg - insta -المنصورة خلايجة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 9 / go cut 2- Eng - كل العيادات‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 9 / skin booster - msg - كل العيادات - DP‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 9 / go cut - eng - new - كل العيادات‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 10 / go cut - msg -insta -كل العيادات",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎‎carisma 11 / التجميل النسائي - msg  -f.b&insta -المحلة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
